fy,pb,compb,projectid,budgetline,theme,orborough,orcd,sponsor,project,descr,amount,address,addresstype,stno,stname,borough,zipad,zipgis,latitude,longitude,comdist,ct10,cb10,ct00,cb00,cd
2010,,,e cn501,e d001,education,b,43,gentile,ps 127k mckinley park,,"250,000","7805 7 ave, brooklyn, ny 11228",,7805,7 ave    ,brooklyn,11228,11228,40.624132,-74.018826,310,206,2003,206,2003,43
2010,,,e cn200,e d001,education,q,30,crowley,ps 113q isaac chauncey ,,"36,000","78-23 87th st, queens, ny 11385",,78-23,87th st    ,queens,11385,11385,40.705516,-73.862208,405,637,3008,637,3004,30
2010,,,p cn009,p d021,parks and recreation,x,15,rivera,crotona park ,,"500,000","785 crotona park n, bronx, ny 10460",,785,crotona park north   ,bronx,10460,10460,40.840627,-73.891433,206,367,2000,367,2001,17
2010,,,p cn010,p d021,parks and recreation,x,15,rivera,crotona park ,,"500,000","785 crotona park n, bronx, ny 10460",,785,crotona park north   ,bronx,10460,10460,40.840627,-73.891433,206,367,2000,367,2001,17
2010,,,lq cn002, lq d122,queens public library,q,30,crowley,glendale branch,,"400,000","78-60 73rd pl, queens, ny 11385",,78-60,73rd pl    ,queens,11385,11385,40.703149,-73.875748,405,623,1006,623,1006,30
2010,,,e cn251,e d001,education,b,36,vann,ps 534k academy for instructional technology,,"192,000","787 lafayette ave, brooklyn, ny 11221",,787,lafayette ave    ,brooklyn,11221,11221,40.691037,-73.941342,303,281,3003,281,3001,36
2010,,,ho cn005,ho d003,health and hospitals corporation,q,25,sears,elmhurst hospital,,"3,200,000","79-01 broadway, queens, ny 11373",,79-01,broadway     ,queens,11373,11373,40.744416,-73.886097,404,267,2000,267,2000,25
2010,,,e cn421,e d001,education,b,35,james,ps 221k toussaint louverture  ,,"100,000","791 empire blvd, brooklyn, ny 11213",,791,empire blvd    ,brooklyn,11213,11213,40.663701,-73.936049,309,355,3001,355,3001,35
2010,,,pv cn525,pv dn209,cultural affairs,b,92,brooklyn delegation,jewish childrens museum,,"1,500,000","792 eastern pkwy, brooklyn, ny 11213",,792,eastern pkwy    ,brooklyn,11213,11213,40.669369,-73.941736,309,337,2001,337,2001,35
2010,,,ed cn033,ed d384,economic development,b,40,eugene,flatbush caton vendors market ,,"200,000","794 flatbush ave, brooklyn, ny 11226",,794,flatbush ave    ,brooklyn,11226,11226,40.653435,-73.959438,314,50803,1002,508,1001,40
2010,,,e cn784,e d001,education,b,41,mealy,ps 309k george e wibecan preparatory academy,,"100,000","794 monroe st, brooklyn, ny 11221",,794,monroe st    ,brooklyn,11221,11221,40.688419,-73.924833,303,385,2000,385,2000,41
2010,,,ha cn020,ha d001,housing authority,x,17,arroyo,andrew jackson houses ,,"350,000","799 courtlandt ave, bronx, ny 10451",,799,courtlandt ave,bronx,10451,10451,40.822805,-73.916595,201,69,4000,69,4000,17
2010,,,e cn535,e d001,education,m,1,gerson,ps 1m alfred e smith,,"50,000","8 henry st, manhattan, ny 10038",,8,henry st    ,manhattan,10038,10038,40.71276,-73.997489,103,27,1007,27,1006,1
2010,,,e cn528,e d001,education,m,1,gerson,ps 126m jacob rips ,,"150,000","80 catherine st, manhattan, ny 10038",,80,catherine st    ,manhattan,10038,10038,40.710729,-73.996631,103,25,2000,25,1001,1
2010,,,e cn350,e d001,education,r,49,mitchell,ps 44r thomas brown,,"50,000","80 maple parkway, staten island, ny 10303",,80,maple parkway    ,staten island,10303,10303,40.63179,-74.156439,501,231,2004,231,2004,49
2010,,,e cn339,e d001,education,r,49,mitchell,ps 16r john j driscoll,,"50,000","80 monroe ave, staten island, ny 10301",,80,monroe ave    ,staten island,10301,10301,40.6397,-74.079141,501,11,1004,11,1004,49
2010,,,e cn413,e d001,education,b,35,james,ps 9k teunis g bergen / ps 571k,,"100,000","80 underhill ave, brooklyn, ny 11238",,80,underhill ave    ,brooklyn,11238,11238,40.678297,-73.965541,308,205,1002,205,1002,35
2010,,,e cn032,e d001,education,x,12,seabrook,evander childs educational campus,,"300,000","800 e gun hill rd, bronx, ny 10467",,800,e gun hill rd  ,bronx,10467,10467,40.875953,-73.86197,212,372,1000,372,1000,12
2010,,,hd cn002,hd dn556,housing preservation & development,b,37,dilan,knickerbocker commons,,"1,000,000","803 knickerbocker ave, brooklyn, ny 11207",,803,knickerbocker ave    ,brooklyn,11207,11207,40.692647,-73.907501,304,437,1000,437,1001,37
2010,,,e cn248,e d001,education,q,23,weprin,ps 115q glen oaks,,"100,000","80-51 261 st, queens, ny 11004",,80-51,261 st    ,queens,11004,11004,40.744099,-73.709845,413,157902,2000,157902,2000,23
2010,,,e cn601,e d001,education,q,25,sears,ps 7q louis f simeone,,"70,000","80-55 cornish ave, queens, ny 11373",,80-55,cornish ave    ,queens,11373,11373,40.739115,-73.882487,404,485,1003,485,1007,25
2010,,,pv cn008,pv d289,cultural affairs,m,"2, 4, 47, 93","mendez, garodnick, recchia jr, manhattan delegation",ny shakespeare festival,,"2,250,000","81 central park west, ny, ny 10023",,81,central park west   ,manhattan,10023,10023,40.773754,-73.977767,107,153,6000,153,1001,6
2010,,,lb cn006, lb d104,brooklyn public library,b,34,reyna,leonard branch ,,"500,000","81 devoe st, brooklyn, ny 11211",,81,devoe st    ,brooklyn,11211,11211,40.713456,-73.947916,301,503,3000,503,3000,34
2010,,,e cn780,e d001,education,b,41,mealy,ps 5k ronald e mcnair,,"76,000","820 hancock st, brooklyn, ny 11233",,820,hancock st    ,brooklyn,11233,11233,40.685695,-73.922463,303,377,1001,377,1002,41
2010,,,e cn139,e d001,education,q,29,katz,ps 99q kew gardens,,"50,000","82-37 queens road, queens, ny 11415",,82-37,kew gardens road   ,queens,11415,11415,40.711419,-73.828628,409,216,1012,216,1010,29
2010,,,p cn030,p d019,parks and recreation,q,29,katz,forest park,,"400,000","8299 88th pl, queens, ny 11385",,8299,88th pl,queens,11385,11385,40.701471,-73.858216,405,639,2005,639,2007,30
2010,,,p cn286,p d019,parks and recreation,q,30,crowley,forest park,,"200,000","8299 88th pl, queens, ny 11385",,8299,88th pl,queens,11385,11385,40.701471,-73.858216,405,639,2005,639,2007,30
2010,,,pv cn007,pv dn307,cultural affairs,m,2,mendez,ny theater workshop,,"275,000","83 east 4th st, ny, ny 10003",,83,east 4th st   ,manhattan,10003,10003,40.726423,-73.989956,103,38,3000,38,3001,2
2010,,,e cn525,e d001,education,b,47,recchia jr,ps 690k brooklyn studio,,"100,000","8310 21st ave, brooklyn, ny 11214",,8310,21st ave    ,brooklyn,11214,11214,40.604879,-73.994404,311,288,1002,288,1002,47
2010,,,p cn205,p d018,parks and recreation,m,4,garodnick,dag hammarskjold plaza,,"75,000","833 united nations plaza, ny, ny 10017",,833,united nations plaza   ,manhattan,10017,10017,40.751591,-73.967816,106,90,3001,90,1002,4
2010,,,e cn293,e d001,education,b,37,dilan,ps 45k horace e greene,,"150,000","84 schaefer st, brooklyn, ny 11207",,84,schaefer st    ,brooklyn,11207,11207,40.686746,-73.910693,304,401,1001,401,1000,37
2010,,,p cn069,p d018,parks and recreation,m,1,gerson,allen st malls,,"400,000","84 stanton st, new york, ny 10002",,84,stanton st,manhattan,10002,10002,40.721537,-73.988737,103,3001,1002,3001,2002,1
2010,,,e cn189,e d001,education,q,30,crowley,ps 254q rosa parks,,"36,000","84-40 101 st, queens, ny 11418",,84-40,101 st    ,queens,11418,11418,40.697961,-73.84796,409,24,2002,24,2002,32
2010,,,e cn359,e d001,education,r,49,mitchell,ps 445r port richmond,,"50,000","85 st josephs ave, staten island, ny 10302",,85,st josephs ave   ,staten island,10302,10302,40.634573,-74.141818,501,213,5000,219,1007,49
2010,,,e cn361,e d001,education,r,49,mitchell,ps 445r port richmond,,"100,000","85 st josephs ave, staten island, ny 10302",,85,st josephs ave   ,staten island,10302,10302,40.634573,-74.141818,501,213,5000,219,1007,49
2010,,,e cn190,e d001,education,q,30,crowley,ps 66q jacqueline kennedy onassis,,"36,000","85-11 102 st, queens, ny 11418",,85-11,102 st    ,queens,11418,11418,40.697836,-73.846558,409,24,1001,24,1001,32
2010,,,e cn979,e d001,education,q,30,crowley,ps 66q jacqueline kennedy onassis,,"300,000","85-11 102 st, queens, ny 11418",,85-11,102 st    ,queens,11418,11418,40.697836,-73.846558,409,24,1001,24,1001,32
2010,,,lq cn035,lq d122,queens public library,q,24,gennaro,briarwood branch,,"300,000","85-12 main st, queens, ny 11435",,85-12,main st    ,queens,11435,11435,40.71014,-73.819621,408,22001,3005,216,2005,24
2010,,,lq cn023, lq d122,queens public library,q,30,crowley,woodhaven library ,,"200,000","85-41 forest pkwy, queens, ny 11421",,85-41,forest pkwy    ,queens,11421,11421,40.694619,-73.861812,409,12,2002,12,2002,32
2010,,,hd cn026,hd dn109,housing preservation & development,x,12,seabrook,bronxwood towers inc,,"500,000","855 e 233rd st, bronx, ny 10466",,855,e 233rd,bronx,10466,10466,40.89194,-73.852775,212,430,3005,430,1009,12
2010,,,e cn212,e d001,education,q,30,crowley,ps 97q forest park,,"140,000","85-52 85 st, queens, ny 11421",,85-52,85 st    ,queens,11421,11421,40.694518,-73.859659,409,12,2003,12,2003,32
2010,,,e cn137,e d001,education,q,29,katz,ps 54q hillside,,"50,000","86-02 127 st, queens, ny 11418",,86-02,127 st    ,queens,11418,11418,40.70292,-73.824221,409,14201,1002,14201,1002,29
2010,,,e cn205,e d001,education,q,30,crowley,ps 56q harry eichler,,"70,000","86-10 114 st, queens, ny 11418",,86-10,114 st    ,queens,11418,11418,40.69919,-73.835299,409,130,2005,130,2005,32
2010,,,e cn177,e d001,education,q,25,sears,ps 222q fire fighter christopher a santora ,,"70,000","86-15 37 ave, queens, ny 11372",,86-15,37 ave    ,queens,11372,11372,40.750172,-73.880363,403,279,2001,279,2001,25
2010,,,e cn209,e d001,education,q,30,crowley,ps 90q horace mann,,"36,000","86-50 109 street, queens, ny 11418",,86-50,109 st,queens,11418,11418,40.697033,-73.839213,409,128,2002,128,2002,32
2010,,,e cn763,e d001,education,q,24,gennaro,ps 86q ,,"250,000","87-41 parsons blvd, queens, ny 11432",,87-41,parsons blvd    ,queens,11432,11432,40.708898,-73.803938,408,448,1004,448,1004,24
2010,,,e cn328,e d001,education,b,42,barron,ps 260k breuckelen,,"800,000","875 williams ave, brooklyn, ny 11207",,875,williams ave    ,brooklyn,11207,11207,40.654031,-73.894854,318,982,2000,1100,2008,42
2010,,,e cn507,e d001,education,b,34,reyna,ps 299k thomas warren field,,"200,000","88 woodbine st, brooklyn, ny 11221",,88,woodbine st    ,brooklyn,11221,11221,40.691077,-73.918152,304,399,2000,399,2002,34
2010,,,e cn765,e d001,education,q,24,gennaro,ps 82q hammond ,,"174,000","88-02 144 st, queens, ny 11435",,88-02,144 st    ,queens,11435,11435,40.704072,-73.811771,412,214,3012,214,3010,24
2010,,,e cn457,e d001,education,q,27,comrie jr,ps 238q susan b anthony academy,,"150,000","88-15 182 st, queens, ny 11423",,88-15,182 st    ,queens,11423,11423,40.713094,-73.780468,412,470,1006,470,1003,27
2010,,,e cn063,e d001,education,x,18,palma,ps 448x soundview academy for culture and scholarship,,"170,000","885 bolton ave, bronx, ny 10473",,885,bolton ave    ,bronx,10473,10473,40.823526,-73.859662,209,42,5002,36,3001,18
2010,,,pv cn504,pv dn205,cultural affairs,m,"47, 93","recchia jr, manhattan delegation",american ballet theater foundation,,"100,000","890 broadway, ny, ny 10003",,890,broadway     ,manhattan,10003,10003,40.73859,-73.989911,105,52,1001,52,1001,2
2010,,,e cn175,e d001,education,q,25,sears,ps 148q queens,,"70,000","89-02 32 ave, queens, ny 11369",,89-02,32 ave    ,queens,11369,11369,40.758377,-73.879089,403,339,2000,339,2000,25
2010,,,lo cn127,lq d122,queens public library,q,27,comrie jr,central library queens borough public library,,"2,500,000","89-11 merrick blvd, queens, ny 11432",,89-11,merrick blvd    ,queens,11432,11432,40.707865,-73.795295,412,460,2004,460,2004,27
2010,,,lq cn025, lq d122,queens public library,q,29,katz,queens public library,,"165,000","89-11 merrick blvd, queens, ny 11432",,89-11,merrick blvd    ,queens,11432,11432,40.707865,-73.795295,412,460,2004,460,2004,27
2010,,,lq cn027, lq d122,queens public library,q,29,katz,queens public library,,"600,000","89-11 merrick blvd, queens, ny 11432",,89-11,merrick blvd    ,queens,11432,11432,40.707865,-73.795295,412,460,2004,460,2004,27
2010,,,lq cn030, lq d122,queens public library,q,"27, 94","comrie jr, queens delegation",queens public library,,"4,000,000","89-11 merrick blvd, queens, ny 11432",,89-11,merrick blvd    ,queens,11432,11432,40.707865,-73.795295,412,460,2004,460,2004,27
2010,,,p cn308,p d017,parks and recreation,b,46,fidler,canarsie park,,"400,000","9006 seaview ave, brooklyn, ny 11236",,9006,seaview ave    ,brooklyn,11236,11236,40.630473,-73.894845,318,1028,1000,1034,1003,46
2010,,,e cn693,e d001,education,b,45,stewart,ps 589k arts and media prep,,"250,000","905 winthrop st, brooklyn, ny 11203",,905,winthrop st    ,brooklyn,11203,11203,40.65843,-73.929076,317,880,1008,880,1007,41
2010,,,e cn349,e d001,education,r,49,mitchell,ps 373r robert randall,,"100,000","91 henderson ave, staten island, ny 10301",,91,henderson ave    ,staten island,10301,10301,40.640686,-74.095378,501,81,2002,81,2004,49
2010,,,e cn064,e d001,education,x,17,arroyo,ps 150x charlps jamps fox,,"130,000","920 east 167 st, bronx, ny 10459",,920,east 167 st   ,bronx,10459,10459,40.82636,-73.894398,202,12701,2002,12701,2002,17
2010,,,p cn301,p d017,parks and recreation,b,42,barron,linden park ,,"750,000","9201-9299 church ave, brooklyn, ny 11212",,9201-9299,church ave    ,brooklyn,11212,11236,40.653814,-73.918381,317,888,3005,888,3000,42
2010,,,lo cn060,lq d122,queens public library,q,32,ulrich,howard beach branch,,"465,000","92-06 156th ave, queens, ny 11414",,92-06,156th ave    ,queens,11414,11414,40.664069,-73.841928,410,892,3007,892,1007,32
2010,,,lo cn058,lq d122,queens public library,q,32,ulrich,ozone park branch,,"460,000","92-24 rockaway blvd, queens, ny 11417",,92-24,rockaway blvd    ,queens,11417,11417,40.681283,-73.847111,410,54,1002,54,1002,32
2010,,,e cn027,e d001,education,m,10,martinez,ps 152m dyckman valley,,"100,000","93 nagle ave, manhattan, ny 10040",,93,nagle ave    ,manhattan,10040,10040,40.860412,-73.927936,112,283,4001,283,1001,10
2010,,,e cn142,e d001,education,q,29,katz,ps 144q col jeromus remsen,,"250,000","93-02 69 ave, queens, ny 11375",,93-02,69 ave    ,queens,11375,11375,40.714978,-73.853372,406,729,1001,729,1001,29
2010,,,e cn143,e d001,education,q,29,katz,ps 144q col jeromus remsen,,"170,000","93-02 69 ave, queens, ny 11375",,93-02,69 ave    ,queens,11375,11375,40.714978,-73.853372,406,729,1001,729,1001,29
2010,,,e cn138,e d001,education,q,29,katz,ps 139q rego park,,"50,000","93-06 63 drive, queens, ny 11374",,93-06,63 drive    ,queens,11374,11374,40.72814,-73.863582,406,693,2000,693,2000,29
2010,,,e cn176,e d001,education,q,25,sears,ps 149q christa mcauliffe,,"106,000","93-11 34 ave, queens, ny 11372",,93-11,34 ave    ,queens,11372,11372,40.754837,-73.874605,403,273,1001,273,1001,25
2010,,,hn cn300,hn d004,city university of new york,q,28,white jr,york college,,"140,000","94-20 guy r brewer blvd, queens, ny 11451",,94-20,guy r brewer blvd  ,queens,11451,11433,40.702532,-73.795578,412,246,1001,246,1003,27
2010,,,hn cn520, hn 0004,city university of new york,q,"27, 94","comrie jr, queens delegation",york college,,"448,000","94-20 guy r brewer blvd, queens, ny 11451",,94-20,guy r brewer blvd  ,queens,11451,11433,40.702532,-73.795578,412,246,1001,246,1003,27
2010,,,hn cn007,hn d004,city university of new york,q,"27, 94","comrie jr, queens delegation",york college ,,"750,000","94-20 guy r brewer blvd, queens, ny 11451",,94-20,guy r brewer blvd  ,queens,11451,11433,40.702532,-73.795578,412,246,1001,246,1003,27
2010,,,e cn162,e d001,education,q,27,comrie jr,ps 687q queens for sciences at york college,,"100,000","94-50 159 st, queens, ny 11433",,94-50,159 st    ,queens,11433,11433,40.701049,-73.798151,412,246,1007,246,1008,27
2010,,,p cn051,p d017,parks and recreation,b,39,deblasio,prospect park,,"900,000","95 prospect park west, brooklyn, ny 11215",,95,prospect park west   ,brooklyn,11215,11215,40.667391,-73.974508,355,177,1010,177,1004,39
2010,,,p cn072,p d017,parks and recreation,b,"39, 92","deblasio, brooklyn delegation",prospect park alliance ,,"1,000,000","95 prospect park west, brooklyn, ny 11215",,95,prospect park west   ,brooklyn,11215,11215,40.667391,-73.974508,355,177,1010,177,1004,39
2010,,,e cn563,e d001,education,x,13,vacca,ps 83x donald hertz,,"200,000","950 rhinelander ave, bronx, ny 10462",,950,rhinelander ave    ,bronx,10462,10462,40.849395,-73.859249,211,244,1000,244,1000,13
2010,,,p cn311,pw dn584,public buildings,b,46,fidler,hebrew education society,,0,"9502 seaview ave, brooklyn, ny 11236",,9502,seaview ave    ,brooklyn,11236,11236,40.632808,-73.89122,318,1028,2001,1028,1003,46
2010,,,lq cn701 ,lq d122,queens public library,q,21,ferreras,east elmhurst branch,,"90,000","95-06 astoria blvd, queens, ny 11369",,95-06,astoria blvd    ,queens,11369,11369,40.76278,-73.874016,403,353,1000,353,1000,21
2010,,,e cn368,e d001,education,b,46,fidler,ps 68k isaac bildersee,,"90,000","956 east 82 st, brooklyn, ny 11236",,956,east 82 st   ,brooklyn,11236,11236,40.635553,-73.91079,318,956,1000,956,1006,46
2010,,,e cn041,e d001,education,x,16,foster,ps 146x edward collins,,"200,000","968 cauldwell ave, bronx, ny 10456",,968,cauldwell ave    ,bronx,10456,10456,40.825025,-73.906143,203,185,5001,137,4003,16
2010,,,hd cn040,hd dn469,housing preservation & development,b,40,eugene,camba 97 crooke ave housing development,,"500,000","97 crooke ave, brooklyn, ny 11226",,97,crooke ave    ,brooklyn,11226,11226,40.65283,-73.962501,314,50804,2000,508,5000,40
2010,,,e cn508,e d001,education,q,34,reyna,ps 77q,,"126,000","976 seneca ave, queens, ny 11385",,976,seneca ave    ,queens,11385,11385,40.699516,-73.90214,405,555,1001,555,1002,34
2010,,,e cn356,e d001,education,r,49,mitchell,ps 65r academy of innovative learning,,"200,000","98 grant st, staten island, ny 10301",,98,grant st    ,staten island,10301,10301,40.634032,-74.078611,501,21,1005,21,1008,49
2010,,,e cn585,e d001,education,x,13,vacca,ps 89x bronx,,"300,000","980 mace ave, bronx, ny 10469",,980,mace ave    ,bronx,10469,10469,40.863055,-73.859387,211,324,1001,324,2001,13
2010,,,e cn586,e d001,education,x,13,vacca,ps 89x bronx,,"80,000","980 mace ave, bronx, ny 10469",,980,mace ave    ,bronx,10469,10469,40.863055,-73.859387,211,324,1001,324,2001,13
2010,,,e cn966,e d001,education,q,21,ferreras,ps 127q aerospace science academy,,"250,000","98-01 25 ave, queens, ny 11369",,98-01,25 ave    ,queens,11369,11369,40.764646,-73.871641,403,357,2008,355,2004,21
2010,,,e cn965,e d001,education,q,21,ferreras,ps 19q marino jeantet,,"250,000","98-02 roosevelt ave, queens, ny 11368",,98-02,roosevelt ave    ,queens,11368,11368,40.749381,-73.867354,404,409,3003,409,2004,21
2010,,,e cn169,e d001,education,q,25,sears,ps 61q leonardo da vinci,,"104,000","98-50 50 ave, queens, ny 11368",,98-50,50 ave    ,queens,11368,11368,40.742668,-73.863307,404,44302,1000,443,2000,21
2010,,,e cn385,e d001,education,b,44,felder,ps 96k seth low,,"50,000","99 ave p, brooklyn, ny 11204",,99,ave p    ,brooklyn,11204,11204,40.60754,-73.984661,311,430,3002,430,3002,44
2010,,,e cn519,e d001,education,b,47,recchia jr,ps 96k seth low,,"60,000","99 ave p, brooklyn, ny 11204",,99,ave p    ,brooklyn,11204,11204,40.60754,-73.984661,311,430,3002,430,3002,44
2010,,,pv cn377,pv dn067,cultural affairs,m,47,recchia jr,whitney museum of american art,,0,"99 gansevoort st, ny, ny 10014",,99,gansevoort st    ,manhattan,10014,10014,40.739386,-74.008967,102,79,1006,79,3006,3
2010,,,e cn021,e d001,education,m,10,martinez,ps jfk,,"200,000","99 terrace view ave, bronx, ny 10463",,99,terrace view ave   ,bronx,10463,10463,40.877105,-73.912256,208,309,4000,309,4000,10
2010,,,e cn091,e d001,education,x,11,koppell,ps 213x bronx engineering and technology academy,,"74,000","99 terrace view ave, bronx, ny 10463",,99,terrace view ave   ,bronx,10463,10463,40.877105,-73.912256,208,309,4000,309,4000,10
2010,,,e cn101,e d001,education,x,11,koppell,ps 477x marble hill for international studies,,"36,000","99 terrace view ave, bronx, ny 10463",,99,terrace view ave   ,bronx,10463,10463,40.877105,-73.912256,208,309,4000,309,4000,10
2010,,,e cn093,e d001,education,x,11,koppell,ps 546x bronx theatre,,"76,000","99 terrace view ave, bronx, ny 10463",,99,terrace view ave   ,bronx,10463,10463,40.877105,-73.912256,208,309,4000,309,4000,10
2010,,,e cn250,e d001,education,b,36,vann,ps 4k at ps 81k thaddeus stevens,,"100,000","990 dekalb ave, brooklyn, ny 11221",,990,dekalb ave    ,brooklyn,11221,11221,40.693161,-73.935765,303,289,3001,289,3001,36
2010,,,e cn509,e d001,education,b,34,reyna,ps 81k thaddeus stevens,,"300,000","990 dekalb ave, brooklyn, ny 11221",,990,dekalb ave    ,brooklyn,11221,11221,40.693161,-73.935765,303,289,3001,289,3001,36
2010,,,pv cn061,pv d236,cultural affairs,b,39,deblasio,brooklyn botanic garden corp,,"135,000","990 washington ave, brooklyn, ny 11225",,990,washington ave    ,brooklyn,11225,11225,40.667215,-73.961729,355,177,1000,177,1000,35
2010,,,pv cn523,pv d236,cultural affairs,b,92,brooklyn delegation,brooklyn botanic garden corp,,0,"990 washington ave, brooklyn, ny 11225",,990,washington ave    ,brooklyn,11225,11225,40.667215,-73.961729,355,177,1000,177,1000,35
2011,,,p cn167,p d017,parks and recreation,k,35,james,clinton ave,,"45,000","clinton ave, brooklyn, ny",street,,,,,,,,,,,,,
2011,,,tf cn001,hw d103,highways,q,32,ulrich,cross bay boulevard ,,"375,000","cross bay blvd, queens, ny",street,,,,,,,,,,,,,
2011,,,hw cn022,hw d101,highways,k,"33, 0","levin, speaker",dumbo st,,"200,000","dumbo st, brooklyn, ny",street,,,,,,,,,,,,,
2011,,,tf cn003,tf d503,traffic,k,40,eugene,flatbush ave,,"450,000","flatbush ave, brooklyn, ny",street,,,,,,,,,,,,,
2011,,,ed cn777,ed d384,economic development,k,34,reyna,grand st ,,"475,000","grand st, ny, ny",street,,,,,,,,,,,,,
2011,,,p cn116,p d019,parks and recreation,q,30,crowley,metropolitan ave,,"100,000","metropolitan ave, ny, ny",street,,,,,,,,,,,,,
2011,,,p cn232,p d056,parks and recreation,x,37,dilan,moffat st skate park,,"1,500,000","moffat st, brooklyn, ny",street,,,,,,,,,,,,,
2011,,,ed cn009,ed d384,economic development,k,35,james,myrtle ave,,"500,000","myrtle ave, brooklyn, ny 11201",street,,,,,,,,,,,,,
2011,,,p cn215,p d017,parks and recreation,k,47,recchia jr,ocean pkwy malls,,"1,000,000","ocean parkway, brooklyn, ny",street,,,,,,,,,,,,,
2011,,,p cn193,p d017,parks and recreation,q,44,greenfield,ocean pkwy malls ,,"400,000","ocean parkway, brooklyn, ny",street,,,,,,,,,,,,,
2011,,,p cn216,p d017,parks and recreation,k,47,recchia jr,shore pkwy,,"250,000","shore pkwy, brooklyn, ny 11235",street,,,,,,,,,,,,,
2011,,,hw cn999,hw d101,highways,k,43,gentile,shore road ,,"500,000","shore rd, brooklyn, ny",street,,,,,,,,,,,,,
2011,,,p cn226,p d017,parks and recreation,r,50,oddo,shore road ,,"250,000","shore rd, staten island, ny 10307",street,,,,,,,,,,,,,
2011,,,hw cn966,hw d102,highways,m,99,technical adjustments,185th st public plaza,,"1,000,000","w 185th st, ny, ny 10033",street,,,,,,,,,,,,,
2011,,,hd cn010,hd dn396,housing preservation & development,x,17,arroyo,best development group llc,,"500,000","111 central park ave, hartsdale, ny 10530",outside,,,,,,,,,,,,,
2011,,,p cn072,p d019,parks and recreation,q,19,halloran,bayside hills malls ,,"50,000","bayside hills, queens, ny 11364",neighborhood,,,,,,,,,,,,,
2011,,,hw cn001,hw d104,highways,r,51,ignizio,eltingville town center,,"500,000","eltingville, staten island",neighborhood,,,,,,,,,,,,,
2011,,,hw ta001,hw d103,highways,a,99,technical adjustments,west hamilton beach ,,"2,800,000","hamilton beach, queens, ny",neighborhood,,,,,,,,,,,,,
2011,,,lq cn044,lq d122,queens public library,q,25,dromm,lefrak city radio ,,"200,000","lefrak city, queens, ny 11368",neighborhood,,,,,,,,,,,,,
2011,,,ed cn012,ed d075,economic development,r,51,ignizio,south shore ,,"500,000","south shore, staten island, ny",neighborhood,,,,,,,,,,,,,
2011,,,tf cn008,tf d503,traffic,q,22,vallone jr,hoyt ave north; hoyt ave south,,"150,000",cd 22,"multiple, cd",,,,,,,,,,,,,
2011,,,p cn998,p d017,parks and recreation,k,35,james,green ft; greene; clinton hill,,"130,000",cd 35,"multiple, cd",,,,,,,,,,,,,
2011,,,p cn544,p d021,parks and recreation,x,11,koppell,world war i monument (pelham bay park),,"100,000","burr ave&westchester ave, bronx, ny 10461",intersection,Burr Ave,westchester ave,bronx,10461,10461,40.8531063,-73.82724426,210,300,,15,,49
2011,,,p cn001,p d018,parks and recreation,x,"13, 15","vacca, rivera",van nest park,,"250,000","white plains rd & van nest ave, bronx, ny 10462",intersection,White Plains Rd,van nest ave,bronx,10462,10462,40.84377,-73.86559,211,238,,383,,24
2011,,,ha cn036,ha d001,housing authority,x,18,palma,clason point houses,,"50,000","lafayette ave & clason point ln, bronx, ny 10473",intersection,Lafayette Ave,clason point ln,bronx,10473,10473,40.82059,-73.86888,209,20,,137,,4
2011,,,p cn192,p d017,parks and recreation,k,43,gentile,owls head park,,"200,000","colonial rd & 68th st, brooklyn, ny 11220",intersection,Colonial Rd,68th st,brooklyn,11220,11220,40.79547,-73.97579,310,30,,234,,13
2011,,,p cn777,p d018,parks and recreation,m,6,brewer,riverside park,,"300,000","riverside dr & w 95th st, ny, ny 10025",intersection,Riverside Dr,w 95th st,manhattan,10025,10025,40.79547,-73.97579,107,183,,274,,28
2011,,,p cn076,p d019,parks and recreation,q,19,halloran,little bay park,,"300,000","cross island pkwy & 209th st, queens, ny 11360",intersection,Cross Island Pkwy,209th st,queens,11360,11360,40.78886,-73.78397,407,99705,,383,,24
2011,,,p cn012,p d018,parks and recreation,m,5,lappin,john jay park,,"250,000","york ave & e 77th st, ny, ny 10075",intersection,York Ave,e 77th st,manhattan,10075,10075,40.770077,-73.9514,108,132,,31901,,49
2011,,,pv cn030,pv d034,cultural affairs,m,"6, 26, 47, 93, 0","brewer, van bramer, recchia jr, manhattan delegation, speaker",american museum of natural history,,"1,750,000","central park west & w 77th st, ny, ny 10024",intersection,Central Park West,w 77th st,manhattan,10024,10024,40.76624745,-73.97804343,107,161,,129,,3
2011,,,pv cn702,pv d503,cultural affairs,m,"4, 26, 93","garodnick, van bramer, manhattan delegation",carnegie hall corporation,,"1,750,000","7th ave & w 57th st, ny, ny 10019",intersection,7th Ave,w 57th st,manhattan,10019,10019,40.76581649,-73.98004909,105,137,,234,,13
2011,,,pv cn606,pv dn194,cultural affairs,m,0,speaker,intrepid museum foundation,,"680,000","w 46th st & 12th ave, ny, ny 10038",intersection,W 46th St,12th ave,manhattan,10038,10036,40.76433,-73.99871,104,129,,91,,3
2011,,,p cn222,p d020,parks and recreation,r,49,rose,mariners marsh park,,"1,000,000","richmond terrace & holland ave, staten island, ny 10303",intersection,Richmond Terrace,holland ave,staten island,10303,10303,40.72529,-73.977974,501,31902,,21,,1
